Ticker,Open Price,Previous Close,Volume
MMM,143.68,142.32,"745,213"
AXP,290.93,287.79,"1,104,220"
AAPL,197.29,196.45,"25,510,269"
AMGN,296.31,295.22,"1,052,904"
BA,200.57,200.32,"4,880,882"
CAT,361.00,357.05,"906,746"
CVX,145.73,145.91,"6,726,438"
CSCO,65.19,64.09,"9,059,921"
KO,71.20,71.02,"9,069,572"
DOW,30.34,29.90,"5,347,426"
DIS,118.02,117.94,--
GS,619.00,613.54,"916,182"
HD,355.88,354.66,"1,752,363"
HON,225.57,224.29,"909,065"
IBM,279.30,277.22,"2,019,267"
INTC,20.41,20.14,"59,839,606"
JNJ,156.42,157.10,"3,777,524"
JPM,267.00,264.95,"3,960,480"
MCD,303.14,301.91,"2,492,268"
MRK,80.88,80.90,"6,299,775"
MSFT,475.27,474.96,"8,460,799"
NKE,61.38,60.53,"7,306,202"
PG,160.88,160.28,"3,452,090"
CRM,260.39,258.40,"3,574,104"
SHW,337.49,335.88,"896,589"
TRV,265.00,263.47,"381,767"
UNH,313.00,311.32,"9,877,394"
VZ,42.96,43.01,"11,644,208"
V,356.49,352.85,"4,245,695"
WMT,94.75,94.44,"6,765,818"
AMZN,212.37,212.10,"19,540,742"
NVDA,143.35,141.97,"132,680,470"
